Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code(s) UIC
Amilly Ouerray;AMY;C;48.4381825, 1.3892882;28006;87394205
Amplepuis;AMP;B;45.970982, 4.326844;69006;87721035
Ancenis;ANC;B;47.369334, -1.177763;44003;87481192
Anchamps;ACP;C;49.9307448, 4.6702434;8011;87172858
Anché - Voulon;ACV;C;46.3496187, 0.2503424;86003;87575332
Ancy-sur-Moselle;AYM;C;49.0575093, 6.0627661;57021;87192419
Andelot-en-Montagne;AND;C;46.8594671, 5.923584;39009;87715102
Andorre – l’Hospitalet;LHT;C;42.5894535, 1.8002635;9139;87611517
Andrésy;ACY;B;48.9747, 2.04928;78015;87381491
Andrézieux-Bouthéon;ANZ;C;45.5217037, 4.254834;42005;87726406
Angers Maître École;AME;C;47.4670899, -0.531894;49007;87484048
Angers Saint-Laud;ASL;A;47.464647, -0.55682;49007;87484006
Angerville;AGV;B;48.3112062, 2.0034931;91016;87543090
Angoulême;ANG;A;45.653572, 0.164608;16015;87583005
Angoulins sur Mer;AOM;C;46.108057, -1.1154503;17010;87485102
Anizy - Pinon;API;C;49.4960073, 3.4487637;2602;87296566
Annappes;ANP;C;50.6227708, 3.1475351;59009;87286856
Annecy;ANY;A;45.901965, 6.121835;74010;87746008
Annemasse;ANE;B;46.199222, 6.23652;74012;87745497
Anor;ANO;C;49.984892, 4.0929803;59012;87295055
Anse Halte;AHA;B;45.93929, 4.71987;69009;87721324
Anthéor Cap Roux;AHC;C;43.4349641, 6.8921036;83118;87757567
Antibes;ATB;A;43.585784, 7.119498;6004;87757674
Anvin;ANV;C;50.446845, 2.25494;62036;87317255
Apach;APJ;C;49.458836, 6.371972;57026;87191643
Appilly;APP;C;49.5808826, 3.1221903;60021;87296459
Arbanats;ABH;C;44.6743555, -0.3954517;33007;87582726
Arbois;AOI;C;46.912509, 5.7648273;39013;87718155
Arc-et-Senans;ACA;C;47.0303516, 5.7767843;25021;87718841
Arcachon;ARC;B;44.659009, -1.16523;33009;87582668
Arches;ARH;C;48.1198133, 6.5283085;88011;87144410
Arcy-sur-Cure;ACU;C;47.6008461, 3.7668885;89015;87683680
Arenc Euroméditerranée;AEM;C;43.3132339, 5.3676221;13202;87580340
Arengosse;ARO;C;44.0069764, -0.8093835;40006;87671479
Argelès-sur-Mer;AMR;B;42.54397, 3.022349;66008;87784231
Argentan;ARG;B;48.738545, -0.025291;61006;87444539
Argenteuil;ARW;B;48.94686, 2.25727;95018;87381848
Argentière;AGI;C;45.9819438, 6.9264844;74056;87746859
Argenton-sur-Creuse;AGC;B;46.592248, 1.518305;36006;87597120
Arles;ARS;B;43.684853, 4.63203;13004;87753657
Arleux;ARX;C;50.2863204, 3.1208073;59015;87345421
Armentières;ARM;B;50.68084, 2.87763;59017;87286146
Arnage;AAG;C;47.9285663, 0.1898826;72008;87396549
Arnèke;ARN;C;50.831522, 2.4083063;59018;87281121
Arpajon;ARP;B;48.58617, 2.24112;91021;87545467
Arras;ARR;A;50.286673, 2.781942;62041;87342014
Arrou;AOU;C;48.0997945, 1.1285567;28012;87394486
Ars-sur-Moselle;ASM;C;49.0744745, 6.0776461;57032;87192401
Artenay;ATY;C;48.0808761, 1.8833705;45008;87543058
Artix;ATI;C;43.3931062, -0.5701881;64061;87672212
Arvant;ARV;C;45.3653797, 3.3106747;43038;87734251
Ascq;ASC;C;50.6218591, 3.1598992;59009;87286864
Asnières-sur-Seine;AEE;B;48.9058, 2.28324;92004;87381137
Aspres-sur-Buëch;ASH;C;44.519428, 5.7545655;5010;87763250
Assat;ATK;C;43.2543993, -0.2950176;64067;87672162
Assier;AER;C;44.6746197, 1.8697681;46009;87613075
Athis-Mons;ATH;B;48.712557, 2.403749;91027;87545251
Aubagne;AUB;B;43.296045, 5.56658;13005;87751750
Aubazines - Saint-Hilaire;ABA;C;45.1816781, 1.6412346;19211;87594465
Aubergenville Élisabethville;AEH;B;48.971825, 1.8484987;78029;87386730
Aubiat;AUK;C;45.983812, 3.1605115;63013;87734111
Aubie - Saint-Antoine;ATX;C;45.0151419, -0.4198843;33018;87491233
Aubiet;AIT;C;43.6502068, 0.7891179;32012;87611764
Aubigné-Racan;ABG;C;47.686945, 0.2657714;72013;87396572
Aubigny-au-Bac;AAB;C;50.2685315, 3.158706;59026;87345447
Aubigny-en-Artois;ABI;C;50.35297, 2.5928045;62045;87342246
Aubin;AVB;C;44.5272762, 2.2393128;12013;87613224
Aubin-Saint-Vaast;AUV;C;50.3946137, 1.9705382;62046;87316604
Auboué;ABE;C;49.216163, 5.9714608;54028;87191684
Aubrives;ARI;C;50.1044507, 4.7616512;8028;87172122
Aubusson;AOO;C;45.9596691, 2.1617231;23008;87597823
Auch;AUH;B;43.647488, 0.596661;32013;87611749
Auchy-lès-Hesdin;AHH;C;50.3963631, 2.1022448;62050;87317230
Audrieu;ADR;C;49.2161315, -0.5960138;14026;87444059
Audruicq;ADQ;B;50.87567, 2.07636;62057;87281428
Audun-le-Roman;ALR;C;49.36682, 5.89139;54029;87194357
Auffay;AUF;B;49.716044, 1.098441;76034;87415158
Aulnat Aéroport;AUL;C;45.7920571, 3.1614332;63019;87562421
Aulnay-sous-Bois;ABM;B;48.93179, 2.49431;93005;87271411
Aulnoye-Aymeries;AYE;B;50.19749, 3.84337;59033;87295600
Aumale;AUM;C;49.7650371, 1.7560425;76035;87313767
Aumont-Aubrac;AAU;C;44.7181699, 3.2835489;48009;87783266
Auneau;AUN;C;48.4458242, 1.77998;28317;87545657
Auray;ARY;A;47.68022, -2.999995;56007;87476200
Aurec-sur-Loire;AEC;C;45.3711611, 4.1983439;43012;87726760
Aurillac;AUC;C;44.921092, 2.435655;15014;87645002
Auterive;AIE;B;43.348993, 1.468831;31033;87611384
Auvers-sur-Oise;AUW;C;49.07062, 2.17526;95039;87276543
Auxerre Saint-Gervais;AUX;B;47.797645, 3.58514;89024;87683573
Auxonne;AXO;B;47.192663, 5.37737;21639;87713347
Avallon;AVA;C;47.4957553, 3.9124463;89025;87683789
Avenay;AAY;C;49.0647826, 4.043689;51028;87171579
Avenue du Président Kennedy Maison de Radio France;APK;B;48.853322, 2.279969;75116;87543207
Avenue Foch;AVF;B;48.870971, 2.2756167;75116;87381038
Avenue Henri Martin;AHM;B;48.8644077, 2.272238;75116;87381046
Avesnelles;AVS;C;50.1185513, 3.9485876;59035;87295725
Avesnes-sur-Helpe;AVN;B;50.12674, 3.93295;59036;87295733
Avignon Centre;AVI;B;43.9419, 4.805281;84007;87765008
Avignon TGV;AVV;A;43.921586, 4.786079;84007;87318964
Avignon TGV 2;AVV;A;43.921586, 4.786079;84007;87981902
Avignonet-Lauragais;AWG;C;43.3638769, 1.7872687;31037;87616011
Avion;AON;C;50.40723, 2.83365;62065;87342584
Avord;ADG;C;47.0349061, 2.6523757;18018;87576439
Avoudrey;AVO;C;47.1298359, 6.434573;25039;87718551
Avranches;AVR;C;48.6902445, -1.3700755;50025;87448514
Avrechy;AVY;C;49.4446439, 2.4179608;60034;87313296
Ax-les-Thermes;AXN;C;42.7247967, 1.8332516;9032;87611533
Ay;AYN;C;49.0487318, 4.0015644;51030;87171561
Aytré Plage;ATL;C;46.1273815, -1.1280462;17028;87437806
Azay-le-Rideau;AZR;C;47.2663383, 0.4475388;37014;87571638
Azay-sur-Cher;EUR;C;47.3652695, 0.8599885;37156;87574442
Azerailles;AZE;C;48.4913355, 6.695778;54038;87141408
Babinière;BBR;C;47.25875274, -1.544928378;44035;87590349
Baccarat;BAC;C;48.452405, 6.74383;54039;87141416
Bagnac-sur-Célé;BAG;C;44.6652105, 2.1602503;46015;87613604
Bagneaux-sur-Loing;BXN;C;48.2304802, 2.7033327;77016;87684191
Bagnols - Chadenet;BCT;C;44.5286125, 3.628178;48037;87783647
Bagnols-sur-Cèze;BSC;C;44.161626, 4.627032;30028;87764571
Baillargues;BGU;B;43.6533234, 4.0071585;34022;87773457
Bailleau-le-Pin;BAP;C;48.3668028, 1.3248851;28021;87394411
Bailleul;BIU;B;50.72916, 2.73445;59043;87286179
Bailleul-Sir-Berthoult;BSH;C;50.3351257, 2.8409809;62073;87342592
Bailly;BLY;B;48.837331, 2.073981;78043;87710780
Bains-les-Bains;BNS;C;47.9811282, 6.2952683;88108;87144147
Baisieux;BAI;C;50.61845, 3.2347796;59044;87286872
Balagny Saint-Épin;BXE;C;49.2942448, 2.3441977;60044;87313569
Balbigny;BBY;C;45.817858, 4.187443;42011;87726869
Ballan-Miré;BME;C;47.3369919, 0.6188975;37018;87571604
Ballancourt-sur-Essonne;BUR;B;48.532114, 2.371274;91045;87681437
Balsièges;BKB;C;44.4820108, 3.4560976;48016;87111864
Banassac - La Canourgue;BAA;C;44.4477632, 3.1958518;48017;87783324
Bandol;BND;B;43.140344, 5.750118;83009;87755223
Bannalec;BNC;C;47.9267473, -3.7065268;29004;87474189
Bantzenheim;BTZ;C;47.8109675, 7.5038675;68020;87182840
Banyuls-sur-Mer;BAN;C;42.4829582, 3.1250496;66016;87784298
Bar-le-Duc;BLD;B;48.773308, 5.166822;55029;87175042
Bar-sur-Aube;BRB;C;48.2385399, 4.7066708;10033;87118299
Baraqueville Carcenac Peyralès;BAQ;C;44.2704368, 2.4275453;12056;87615757
Barentin;BTM;B;49.549123, 0.953517;76057;87411264
Barjac;BJC;C;44.4992638, 3.4109786;48018;87783563
Baroncourt;BTS;C;49.2845332, 5.6997387;55158;87192658
Barr;BAR;B;48.4032933, 7.4565189;67021;87214247
Barsac;BSQ;C;44.6054306, -0.3215775;33030;87582759
Bartenheim;BTK;C;47.6349313, 7.4872561;68021;87182113
Bas - Monistrol-sur-Loire;BMO;C;45.297596, 4.139602;43020;87726778
Bas Évette;BEV;C;47.6810089, 6.8068494;90042;87184200
Basse-Ham;BHD;C;49.3805708, 6.2348709;57287;87191601
Bassens;BAS;C;44.9012933, -0.5223144;33032;87581850
Batz-sur-Mer;BSK;C;47.2809541, -2.4789866;44010;87481770
Baule;BLJ;C;47.8117535, 1.668127;45024;87574152
Baume-les-Dames;BDA;B;47.353937, 6.359603;25047;87718460
Bauvin - Provin;BVP;C;50.51168, 2.9054;59052;87345280
Bayeux;BAY;B;49.269836, -0.698056;14047;87444067
Bayon;BYN;B;48.468046, 6.322569;54585;87141218
Bayonne;BYE;A;43.496801, -1.470306;64102;87673004
Bazancourt;BZT;B;49.361202, 4.173887;51043;87171462
Baziège;BAZ;C;43.4535696, 1.6205019;31048;87611723
Béard;BVE;C;46.8652207, 3.3179944;58025;87696468
Beau Marais;BMQ;C;50.945371, 1.8983301;62193;87317610
Beaucaire;BCK;C;43.80209, 4.6470865;30032;87775023
Beaugency;BGY;B;47.778365, 1.625938;45028;87574160
Beaulieu-sur-Mer;BUM;B;43.706651, 7.331545;6011;87756379
Beaumont-le-Roger;BLR;C;49.0741722, 0.7727865;27051;87387183
Beaune;BEA;B;47.023053, 4.848379;21054;87713545
Beaurainville;BIV;C;50.422891, 1.895345;62100;87317198
Beautiran;BIR;B;44.701041, -0.45017;33037;87582700
Beauvais;BVS;B;49.42648, 2.08869;60057;87313510
Beauvoir-sur-Niort;BVK;C;46.1768857, -0.4687544;79031;87485342
Beauvoisin;BVW;C;43.7245026, 4.3212178;30033;87775809
Bécon les Bruyères;BEC;B;48.90592, 2.26838;92026;87382002
Bédarieux;BED;C;43.6086972, 3.1495688;34028;87781609
Bédarrides;BDR;C;44.0407636, 4.8931321;84016;87765198
Bedous;GGM;C;42.99589, -0.60348;64104;87672774
Bègles;BGL;C;44.7995389, -0.5552495;33039;87581801
Beillant;BIL;C;45.7007999, -0.5265079;17400;87491076
Belfort;BFT;B;47.633284, 6.853956;90010;87184002
Belfort - Montbéliard TGV;BFB;A;47.585937, 6.897687;90068;87300822
Bellac;BLL;C;46.1252044, 1.0461168;87011;87592485
Belle-Isle - Bégard;BIB;C;48.5935901, -3.3228532;22135;87473165
Bellegarde-sur-Valserine;BGD;A;46.109425, 5.823483;1033;87745000
Bellenaves;BLE;C;46.199256, 3.0665239;3022;87641068
Bellevigny;BVD;C;46.788316, -1.4346673;85019;87486142
Belleville;BEE;C;48.8195721, 6.1018641;54060;87141804
Belleville sur Sâone;BVL;B;46.111917, 4.729028;69019;87721357
Bellevue;BLU;B;48.8190033, 2.2296743;92048;87393116
Bellignat;BNI;C;46.2381265, 5.6298849;1031;87743526
Belloy - Saint-Martin;BSW;B;49.09807, 2.36135;95056;87276550
Belvès;BES;C;44.7773978, 1.0118831;24035;87595876
Belvezet;BVZ;C;44.5617971, 3.7518919;48023;87783670
Belz - Ploemel;BZP;C;47.652466, -3.0721919;56161;87476408
Bénesse-Maremne;BMX;C;43.6277484, -1.3698505;40036;87673285
Bénestroff;BEN;C;48.90656, 6.75266;57060;87192302
Benfeld;BFD;B;48.3735367, 7.584125;67028;87214122
Bengy-sur-Craon;BNH;C;47.0004698, 2.7492361;18027;87576447
Béning-lès-Saint-Avold;BNG;C;49.1379541, 6.8282982;57061;87193250
Bergerac;BGC;B;44.857061, 0.489174;24037;87584268
Bergues;BEG;B;50.96901, 2.42574;59067;87281105
Berlaimont;BER;C;50.1980095, 3.8105316;59068;87295808
Bernay;BEY;B;49.087102, 0.595634;27056;87444299
Bersac-sur-Rivalier;BHA;C;46.0837459, 1.4321682;87013;87592352
Berthelming;BHN;C;48.8096475, 7.0087859;57066;87215335
Bertrichamps;BHZ;C;48.4283359, 6.7912343;54065;87141424
Bertry;BTD;C;50.0911265, 3.4489955;59074;87345553
Besançon Franche-Comté TGV;BFC;A;47.307361058531725, 5.953195095062256;25035;87300863
Besançon Mouillère;BNM;C;47.240372, 6.03391;25056;87718015
Besançon Viotte;BNV;A;47.247019, 6.022003;25056;87718007
Beslé;BIQ;C;47.6988788, -1.8706374;44067;87471219
Bessancourt;BSR;B;49.03576, 2.21004;95060;87276642
Bessay-sur-Allier;BSS;C;46.4435849, 3.3606477;3025;87696336
Bétaille;BIK;C;44.9424281, 1.7344108;46028;87594747
Béthune;BET;B;50.52144, 2.64055;62119;87342006
Betton;BTN;C;48.1814803, -1.6344745;35024;87471045
Beuvrages;BUS;C;50.3894892, 3.5061396;59079;87343160
Beuvry lès Béthune;BVR;C;50.5356021, 2.6924093;62126;87342402
Beynes;BYS;B;48.8593599, 1.8755696;78062;87393363
Beynost;BNO;B;45.833915, 5.006969;1043;87723544
Béziers;BZS;A;43.33633, 3.218873;34032;87781005
Biache-Saint-Vaast;BIA;C;50.3162525, 2.9414975;62128;87342097
Biarritz;BIZ;A;43.459397, -1.545915;64122;87673400
Bibliothèque François Mitterrand;BFM;B;48.82984, 2.37684;75113;87328328
Bidarray Pont Noblia;PBJ;C;43.2682991, -1.3453233;64124;87673699
Bidos;EON;C;43.17892, -0.6069;64126;87517912
Bièvres;BSI;B;48.7513289, 2.2157279;91064;87393546
Biganos Facture;FAT;B;44.637384, -0.96621;33051;87582478
Bigny;BIG;C;46.8015763, 2.368638;18270;87576306
Billy-Montigny;BYM;B;50.41556, 2.91206;62133;87345140
Biot;BJO;B;43.610951, 7.12609;6004;87757690
Bischheim;BHM;C;48.6118352, 7.7422165;67043;87212308
Bischoffsheim;BFH;C;48.48701, 7.49772;67045;87214296
Bischwiller;BHW;B;48.765753, 7.8516536;67046;87213611
Bitschwiller-lès-Thann;BWP;C;47.8273719, 7.078514;68040;87182576
Blainville - Damelevières;BLV;B;48.564971, 6.386953;54152;87141135
Blaisy-Bas;BSB;C;47.3734427, 4.7410755;21080;87713073
Blangy-sur-Bresle;BBM;C;49.9326071, 1.6259074;76101;87313809
Blangy-sur-Ternoise;BIP;C;50.424669, 2.1721585;62138;87317248
Blanquefort;BQF;B;44.917556, -0.62392;33056;87581728
Blanzy;BYK;C;46.694064, 4.3913585;71040;87694612
Bléré - La Croix;BCX;B;47.3377228, 0.9877583;37091;87574475
Blois - Chambord;BLO;B;47.585445, 1.323823;41018;87574004
Blonville-sur-Mer - Benerville;BWB;C;49.3313919, 0.0356856;14079;87444380
Boën-sur-Lignon;BOE;C;45.7413612, 4.0051544;42019;87726471
Bogny-sur-Meuse;BYU;C;49.8583117, 4.7632317;8081;87172049
Bohain-en-Vermandois;BHI;B;49.9884143, 3.4431289;2095;87296269
Boigneville;BWI;C;48.342078, 2.3789793;91069;87684407
Bois-Colombes;BCO;B;48.91348, 2.27256;92009;87381079
Bois-d'Oingt - Légny;BDO;C;45.9065839, 4.575043;69111;87721787
Bois-le-Roi;BJR;B;48.475567, 2.691606;77037;87682203
Boisleux-au-Mont;BLX;C;50.2104665, 2.771855;62151;87342071
Boisseaux;BAX;C;48.2566238, 1.9727681;45037;87543082
Boisset;BCL;C;44.786038, 2.2497669;15021;87645184
Boissise-le-Roi;BKR;C;48.529319, 2.572953;77040;87682518
Boissy-l'Aillerie;BLA;B;49.07598, 2.02513;95078;87381152
Bollène La Croisière;BLN;B;44.271525, 4.707908;84019;87764357
Bollwiller;BOW;B;47.8569694, 7.2672555;68043;87182709
Bologne;BOG;C;48.1986877, 5.1342228;52058;87142224
Bondy;BDY;B;48.894208, 2.4786;93010;87113407
Bonnemain;BMV;C;48.4764049, -1.7654125;35029;87478065
Bonneval;BOJ;C;48.1862958, 1.3861845;28051;87545731
Bonneville;BON;B;46.077772, 6.416524;74042;87746339
Bonnières-sur-Seine;BNR;B;49.038788, 1.582205;78089;87415893
Bons-en-Chablais;BAB;B;46.270046, 6.366246;74043;87745596
Bonson;BSN;C;45.5221941, 4.2163084;42022;87726414
Boran-sur-Oise;BRN;C;49.1671348, 2.362537;60086;87276444
Bordeaux Saint-Jean;BXJ;A;44.825873, -0.556697;33063;87581009
Bords;BOR;C;45.8944625, -0.7985436;17053;87491019
Bornel - Belle-Église;BBI;B;49.19471, 2.20717;60088;87276717
Bouaye;BLQ;C;47.1380806, -1.6810992;44018;87481200
Boucau;BUU;C;43.5234217, -1.4905872;64140;87673095
Bouchain;BAK;C;50.2780892, 3.3319096;59092;87345389
Boucoiran-et-Nozières;BKW;C;43.9926943, 4.187634;30046;87775346
Bouffémont - Moisselles;BOF;B;49.04514, 2.32272;95091;87276485
Bougival;BGV;B;48.8542135, 2.1323749;78126;87382440
Boulainvilliers;BWR;B;48.85645, 2.275149;75116;87543181
Boulazac;BZC;C;45.172291, 0.772645;24053;87725473
Boulogne Tintelleries;BKI;B;50.72729, 1.60904;62160;87317016
Boulogne-sur-Mer;BEM;B;50.7157, 1.60964;62160;87317586
Boulouris sur Mer;BOU;C;43.4163471, 6.8082519;83118;87757534
Bouray;BSO;B;48.533149, 2.290596;91330;87545178
Bourbourg;BBU;C;50.952267, 2.1942305;59094;87281279
Bourg-Bruche;BFZ;C;48.3598566, 7.1371919;67059;87214775
Bourg-en-Bresse;BGB;B;46.200351, 5.215063;1053;87743005
Bourg-Madame;BMD;C;42.4324069, 1.9486704;66025;87784876
Bourg-Saint-Maurice;BSM;B;45.619036, 6.771273;73054;87741793
Bourges;BGS;B;47.094145, 2.394255;18033;87576207
Bourgneuf-en-Retz;BGZ;C;47.0469634, -1.9551942;44021;87481242
Bourgoin-Jallieu;BRG;B;45.583954, 5.273401;38053;87723429
Bourgtheroulde - Thuit-Hébert;BGT;C;49.3174381, 0.8383198;27637;87415323
Bournezeau;BNZ;C;46.6518258, -1.1806169;85034;87486324
Bourron-Marlotte - Grez;BOM;B;48.3326884, 2.6924552;77048;87684118
Boussay - La Bruffière;BBF;C;47.0505741, -1.1828046;44022;87481176
Boussens;BQY;B;43.179617, 0.972543;31084;87611095
Boussy-Saint-Antoine;BXI;B;48.680893, 2.532726;91097;87682138
Bouthéon;BOH;C;45.5246289, 4.2777187;42005;87726216
Boutigny-sur-Essonne;BJN;B;48.43495, 2.37636;91099;87681478
Boves;BOV;C;49.8462355, 2.3981165;80131;87313213
Bram;BRA;C;43.2441014, 2.1191467;11049;87615054
Brandérion;BPZ;C;47.7823179, -3.1940402;56021;87476242
Brassac-les-Mines - Sainte-Florine;BLM;C;45.414246, 3.330167;63050;87734244
Brax - Léguevin;BXL;B;43.614887, 1.236922;31088;87611822
Brazey-en-Plaine;BEP;C;47.1314549, 5.2121276;21103;87713644
Bréauté - Beuzeville;BTB;B;49.603396, 0.417489;76141;87413344
Brebières;BSU;C;50.33624, 3.0142;62173;87345108
Breitenbach;BHH;C;48.0285326, 7.1040522;68051;87182659
Brélidy - Plouëc;BYP;C;48.669204, -3.196269;22212;87473827
Bressuire;BRS;C;46.8384462, -0.4963269;79049;87487249
Brest;BRT;A;48.38811, -4.478903;29019;87474007
Breteil;BTU;C;48.1405713, -1.8972095;35040;87471102
Bretenoux - Biars;BXB;C;44.9273692, 1.8436871;46029;87594762
Breteuil;BEB;C;49.626389, 2.3845164;60039;87313247
Bretigny - Norges;BTQ;C;47.390044, 5.1105838;21107;87712265
Brétigny-sur-Orge;BYR;B;48.606683, 2.302378;91103;87545194
Bretoncelles;BTO;C;48.4326737, 0.8923825;61061;87394270
Bretteville - Norrey;BVO;C;49.2034112, -0.5127396;14098;87444042
Breuil - Romain;BPR;C;49.3084141, 3.7665322;51086;87171322
Breuillet - Bruyères-le-Châtel;BIH;B;48.577228, 2.191721;91105;87545483
Breuillet Village;BRW;B;48.564776, 2.171207;91105;87545491
Bréval;BVA;B;48.94336, 1.54191;78107;87381624
Briançon;BRI;B;44.889853, 6.633007;5023;87763607
Briare;BEW;C;47.6464312, 2.7337154;45053;87696088
Brignac;BKX;C;45.8635812, 1.4406315;87129;87592063
Brignais;BGN;B;45.6737721, 4.7636596;69027;87722728
Brignoud;BNU;B;45.26245, 5.901472;38547;87747451
Brimeux;BWM;C;50.4470409, 1.8313826;62177;87317180
Brion - Montréal-la-Cluse;BMC;C;46.1757013, 5.5585203;1063;87131961
Brionne;BEU;C;49.1964187, 0.7115304;27116;87415364
Brioude;BRD;C;45.3006493, 3.3786344;43040;87734269
Briouze;BZN;C;48.7018622, -0.3682036;61063;87448084
Brive-la-Gaillarde;BLG;A;45.152618, 1.528655;19031;87594002
Broons;BOS;C;48.3332957, -2.2356578;22020;87473074
Brou;BRO;C;48.2157588, 1.1606705;28061;87394452
Broye;BQK;C;46.8619444, 4.2960996;71063;87694166
Bruges;BGH;C;44.8870124, -0.609445;33075;87581736
Brumath;BAH;B;48.7331082, 7.7004016;67067;87212134
Brunémont;BPN;C;50.2783197, 3.1453509;59115;87345439
Brunoy;BNY;B;48.699112, 2.506422;91114;87682120
Bruyères;BUY;C;48.204895, 6.7187638;88078;87144154
Bruyères-sur-Oise;BRK;C;49.1552098, 2.3259636;95116;87276451
Bruz;BRZ;B;48.0286, -1.7518088;35047;87471037
Bueil;BUE;C;48.9253816, 1.4435896;27119;87387092
Bugeat;BUG;C;45.6005968, 1.9248147;19033;87592162
Buire-sur-l'Ancre;BXA;C;49.9647735, 2.5981885;80151;87316067
Bully - Grenay;BGF;B;50.44843, 2.73317;62186;87342105
Buno - Gironville;BQV;C;48.370847, 2.3871153;91121;87681510
Busigny;BSY;C;50.0397236, 3.4461174;59118;87296244
Bussac-Forêt;BMR;C;45.211928, -0.3682457;17074;87491191
Busseau sur Creuse;BUC;C;46.1230257, 2.0229244;23001;87597708
Bussière-Galant;BGA;C;45.6076224, 1.0261372;87027;87592741
Buzy en Béarn;BUZ;C;43.1482723, -0.4558864;64157;87672634
Byans-sur-Doubs;BYB;C;47.1185334, 5.8520589;25105;87718122
Cadaujac;CDJ;C;44.7520628, -0.5376186;33080;87582684
Caen;CAE;A;49.176354, -0.347613;14118;87444000
Caffiers;CAF;C;50.8500679, 1.8120345;62191;87317321
Cagnes-sur-Mer;CGM;B;43.65813, 7.14864;6027;87756320
Cahors;CAH;B;44.449275, 1.433325;46042;87613000
Calais;CSV;B;50.953481, 1.850819;62193;87317263
Calais - Fréthun;FHS;B;50.901221, 1.810891;62360;87281071
Callac;CCF;C;48.4062201, -3.419782;22025;87473546
Calonne-Ricouart;CPC;C;50.4827036, 2.4812098;62194;87342543
Cambo-les-Bains;CPQ;C;43.3656242, -1.3966849;64160;87673657
Cambrai;CAM;B;50.17662, 3.24118;59122;87345520
